cluster_id,left_key,right_key,method,similarity,threshold,left_sha256,right_sha256
dedup-0036,bangdream_006_school_summer_s2,bangdream_006_school_summer_v3,embedding_cosine,0.9998719096183777,0.992,701c38cd94661d5bd5c15783cd1737fc6a88275bcc8dfde924bc6f683ee695fa,e3fc7263dc29bd37fc0ce07cfad765915906bdabbde7b297ef16fb412b7605e0
dedup-0037,bangdream_007_2019_furisode,bangdream_007_2024_furisode,embedding_cosine,0.9942291975021362,0.992,c547f74b7fbde74e41d758b03f069826002f85e801384723a20b85ad2ae2efd1,2a93ed492f5eeead8d38fa0da7d3a63e54b75c2bccc86f90451e0ec081e12a9d
dedup-0038,bangdream_007_casual_winter,bangdream_007_event_65_story_01,embedding_cosine,0.9995476007461548,0.992,d38de937e6caa9b977fd0f220bcaaf988f3c02176259790e0ef751f9a48121b2,cdebbe3afd2d7f1f31b0a29fc2985d1a484e7a5ef477a5c26e96ff7f0f640977
dedup-0038,bangdream_007_casual_winter,bangdream_007_event_94_story_02,embedding_cosine,0.9998351335525513,0.992,d38de937e6caa9b977fd0f220bcaaf988f3c02176259790e0ef751f9a48121b2,5d7f43fdc126b190694761a91c6a68b45c76ca8a24ba68c073ecd1fb8a24c048
dedup-0039,bangdream_007_event_122_story_01,bangdream_007_swimsuit-2023,embedding_cosine,0.9951842427253723,0.992,92713db378b9080b1e3999fe2b5e627cbfcf00b68fcb1d6fb35a4bd051193782,00a3085189b49b7ab688e4635968821432eb11e711125c59d996036756269432
dedup-0040,bangdream_007_event_200_story01,bangdream_007_live_event_200_ssr,embedding_cosine,0.9990805387496948,0.992,bacd0997090ead18728c75bab880b2d0805bd6fd10fab9cb4e575ac140e320a5,2f581d4b204d69894ecc0fc68821df2c00e8e47c29feef682efc39151c80ca89
dedup-0041,bangdream_007_event_216_story_01,bangdream_007_school_winter_s2,embedding_cosine,0.9997079372406006,0.992,00c38e91864edfaab1f435d1d748feca5dae66077964a0900bbcc2f83912c59c,f975c064d1c31c45c3dcd69f36b2584e5fb397c2032a0b2bdf2d1a76e68b3a0d
dedup-0042,bangdream_007_event_54_story_01,bangdream_007_pajamas-2023,embedding_cosine,0.9970308542251587,0.992,98aa7f59c783423bc46388fb1a70edf530ed5b988149f2b98707a3f32c7f3e63,2af8a89cb391d05917944cb30e7b88175d04c5f60992d0177238e10b5524d76d
dedup-0038,bangdream_007_event_65_story_01,bangdream_007_event_94_story_02,embedding_cosine,0.9996718764305115,0.992,cdebbe3afd2d7f1f31b0a29fc2985d1a484e7a5ef477a5c26e96ff7f0f640977,5d7f43fdc126b190694761a91c6a68b45c76ca8a24ba68c073ecd1fb8a24c048
dedup-0043,bangdream_007_event_94_story_01,bangdream_007_store,embedding_cosine,0.9999667406082153,0.992,c9caabd2a2e23e7a2363044ab34031d28f746819c1bab31413a895186b00d071,df96908dba406228c258caea736c803f2cbe32d89dde6bb7abf7ed824d464ff0
dedup-0044,bangdream_007_school_summer_s2,bangdream_007_school_summer_v3,embedding_cosine,0.9993911981582642,0.992,68449d753a7b4f63ae2275df4ab84dd3a7d5356f4f2251d42f8f6a768dc10bff,67efc888bfbea39e1532fbbee20feeebcb466eb54993a5909ac403e669ee0792
dedup-0045,bangdream_008_event_122_story_01,bangdream_008_swim_swit,embedding_cosine,0.9983642101287842,0.992,750e4821fb56d38786ea93cd290bee3dc5955b212898bc0a0a554fa31c9246f6,db9ed6933a34a570cdf4a490de0a63c96536deb67a936d28e73ae7941f6b6826
dedup-0045,bangdream_008_event_122_story_01,bangdream_008_swimsuit-2023,embedding_cosine,0.9938353300094604,0.992,750e4821fb56d38786ea93cd290bee3dc5955b212898bc0a0a554fa31c9246f6,1d40e6b3f769380e9a1c7f398a100fb3dc336a7c668958c1e35631fb7711ca70
dedup-0046,bangdream_008_event_216_story_01,bangdream_008_school_winter_s2,embedding_cosine,0.9986522197723389,0.992,638d04ec9a966a11def6b73970e9bcf646bb7189435201d6fa2e0ef53f2992c0,88cabc23b175aec227df8e22895d03ae8294d9802eac9bd7ea84d160007926f9
dedup-0047,bangdream_008_event_236_story_01,bangdream_008_live_event_236_ur,embedding_cosine,0.9967783093452454,0.992,5b135ce1353be83e011924dfd176fcaf4951fd6e4915e407356f4055323238c3,a6fc6ca79155e24255a2af71a4049a869c4f4a4cada713a63e863fd527f07450
dedup-0048,bangdream_008_event_296_story_01,bangdream_008_live_event_296_ur,embedding_cosine,0.999664306640625,0.992,7fa3ea7cc6bbe30d409eaf69faa09df8abbe20d36d5790574dd7589e3f45f5ad,959204401db19f21c9c5d08409c87f96c2396b4f3093cce8d421f19782741d29
dedup-0049,bangdream_008_school_summer_s2,bangdream_008_school_summer_v3,embedding_cosine,0.9999111890792847,0.992,fcf53a76013d1b6b445c8db2c4b7b37671a525e06eec24e163f18b71421313b2,c097f5a2940e33a954768a5e171b467123e0f5574073ecea536debe69e2a90b3
dedup-0045,bangdream_008_swim_swit,bangdream_008_swimsuit-2023,embedding_cosine,0.9935047030448914,0.992,db9ed6933a34a570cdf4a490de0a63c96536deb67a936d28e73ae7941f6b6826,1d40e6b3f769380e9a1c7f398a100fb3dc336a7c668958c1e35631fb7711ca70
